year,persons,birth_rate,death_rate,natural_rate
2014,1371860,13.83,7.12,6.71
2015,1379860,11.99,7.07,4.93
2016,1387790,12.95,7.09,5.86
2017,1396215,12.64,7.06,5.58
2018,1402760,10.86,7.08,3.78
2019,1407745,10.41,7.09,3.32
2020,1411100,8.52,7.07,1.45



