year,persons,birth_rate,death_rate,natural_rate
2014,17289,23.1,7.6,15.5
2015,17557,22.7,7.5,16.2
2016,17818,22.52,7.4,15.6
2017,18014,21.7,7.2,14.4
2018,18437,21.8,7.1,14.7
2019,18789,21.8,7.2,14.6
2020,18129,22.8,8.7,14.1



